#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
25 -19052.495 3.0277416 0.96710553 0.022338223 0.11841288 1.0416961 0.042377857 2.0650543e-09  67.8495 -3.5494364 -3.5494364 -38097.892 -38097.892
 6 -19052.637 3.0282423  0.9650174 0.022301434 0.11910278  1.041656 0.041782689 2.0660884e-09 67.55573 -3.5494364 -3.5494364 -38098.176 -38098.176
35 -19052.488 3.0315447 0.96715331 0.022228607 0.11869076 1.0417235 0.043879972 2.0729228e-09 67.65959 -3.5494364 -3.5494364 -38097.878 -38097.878
 4 -19052.406   3.01758 0.96695511 0.022313859 0.11970535 1.0417799 0.036219419 2.0441763e-09 67.39419 -3.5494364 -3.5494364 -38097.713 -38097.713
11 -19052.291 3.0155317 0.96646046 0.022293002 0.11971893 1.0418939 0.035124298 2.0399935e-09 67.40853 -3.5494364 -3.5494364 -38097.484 -38097.484
 8 -19050.556 3.0320216 0.97018713 0.022346474 0.11784155 1.0420664  0.04615496 2.0739115e-09 68.18709 -3.5494364 -3.5494364 -38094.013 -38094.013
 3 -19050.746   3.04787 0.97224831  0.02232922 0.11813905 1.0419747 0.053426442 2.1070416e-09 68.03322 -3.5494364 -3.5494364 -38094.394 -38094.394
15 -19050.232 3.0432363 0.97236522 0.022295118  0.1182333 1.0422468 0.051225688 2.0973008e-09  68.0595 -3.5494364 -3.5494364 -38093.366 -38093.366
 2 -19049.187 3.0556594 0.97174271 0.022277498  0.1183303 1.0425279 0.057152402 2.1235183e-09 68.10282 -3.5494364 -3.5494364 -38091.275 -38091.275
 3 -19050.087  3.105395 0.96252203 0.022356392 0.12068177 1.0415137 0.079699516 2.2318033e-09 66.99975 -3.5494364 -3.5494364 -38093.076 -38093.076
28 -19047.887 3.0991192 0.96443573 0.022534996 0.12085934 1.0412873 0.075403593 2.2178408e-09 67.02432 -3.5494364 -3.5494364 -38088.675 -38088.675
 2 -19047.773 3.0991396 0.96447955 0.022536618 0.12085431 1.0412852  0.07540848 2.2178861e-09 67.02684 -3.5494364 -3.5494364 -38088.448 -38088.448
 6 -19047.769 3.0991404    0.96448 0.022536627 0.12085413 1.0412852 0.075409089 2.2178878e-09 67.02693 -3.5494364 -3.5494364  -38088.44  -38088.44
22 -19048.191 3.0906243 0.97494937  0.02263994 0.11699685 1.0421581 0.076943502 2.1990802e-09 68.79165 -3.5494364 -3.5494364 -38089.284 -38089.284
 1 -19048.615 3.0890509 0.97442882 0.022619867 0.11713565 1.0420987 0.076035419 2.1956228e-09 68.70275 -3.5494364 -3.5494364 -38090.132 -38090.132
 6 -19048.348 3.0847418 0.97471999 0.022641594 0.11700876 1.0421249 0.073934825 2.1861822e-09 68.77762 -3.5494364 -3.5494364 -38089.596 -38089.596
 3 -19048.486 3.0830878 0.97549167 0.022632926 0.11646759 1.0420805 0.073839899 2.1825691e-09 68.95277 -3.5494364 -3.5494364 -38089.874 -38089.874
 1 -19048.636 3.0825017 0.97521232 0.022630935 0.11649233 1.0420834 0.073496318 2.1812904e-09 68.94288 -3.5494364 -3.5494364 -38090.172 -38090.172
 2 -19048.885 3.0798825 0.97493446 0.022616154 0.11662883 1.0420474  0.07200065 2.1755846e-09 68.86722 -3.5494364 -3.5494364 -38090.671 -38090.671
 1 -19049.978 3.0464163 0.97119716 0.022486271 0.11749084 1.0413679 0.054273582 2.1039808e-09 68.20658 -3.5494364 -3.5494364 -38092.856 -38092.856
13 -19050.817 3.0664396 0.96488196 0.022194291 0.12015761 1.0408414 0.060886996 2.1465342e-09 66.81317 -3.5494364 -3.5494364 -38094.535 -38094.535
 6 -19050.499 3.0784766 0.96681533 0.022162912 0.12009878 1.0409877  0.06711826 2.1725282e-09 66.85425 -3.5494364 -3.5494364   -38093.9   -38093.9
 5 -19051.036 3.0883999 0.96672354 0.022265867 0.11896983 1.0410625 0.073348934  2.194194e-09 67.37265 -3.5494364 -3.5494364 -38094.974 -38094.974
 1 -19050.327  3.091339 0.96981694 0.022334501 0.11768538 1.0410698 0.076280999 2.2006526e-09 67.89867 -3.5494364 -3.5494364 -38093.555 -38093.555
12 -19050.655 3.0204602  0.9673402 0.022368298 0.12017305  1.041696 0.038242803 2.0500723e-09 67.25025 -3.5494364 -3.5494364 -38094.212 -38094.212
 1 -19050.978 3.0246728 0.96686127  0.02238263 0.12040941 1.0415332 0.039891007 2.0587268e-09 67.12572 -3.5494364 -3.5494364 -38094.857 -38094.857
 8 -19049.808 2.9833369 0.96298844 0.022301957 0.12110376 1.0410048 0.018491693 1.9753622e-09 66.63329 -3.5494364 -3.5494364 -38092.518 -38092.518
 5 -19050.102 2.9959417 0.96509164 0.022350228 0.12031768 1.0410034 0.025594208 2.0004188e-09 66.95183 -3.5494364 -3.5494364 -38093.104 -38093.104
 1 -19049.982 3.0435391 0.96695327 0.022387006 0.12003602 1.0410968 0.050079114  2.097936e-09 67.11551 -3.5494364 -3.5494364 -38092.865 -38092.865
 5 -19051.297 3.0587515 0.95981168 0.022200356  0.1221508 1.0410738 0.054543065 2.1300946e-09 66.20106 -3.5494364 -3.5494364 -38095.495 -38095.495
 9 -19050.405 3.0577087 0.96140389 0.022267156 0.12134492 1.0409696 0.055330619 2.1278746e-09 66.50608 -3.5494364 -3.5494364 -38093.711 -38093.711
 5 -19050.804  3.056358 0.96095247 0.022256592 0.12145444 1.0410243 0.054361664 2.1250024e-09 66.47663 -3.5494364 -3.5494364 -38094.508 -38094.508
 7  -19050.99 3.0547707 0.96321174 0.022393931 0.12099972 1.0410639 0.053808227 2.1216319e-09 66.77263 -3.5494364 -3.5494364  -38094.88  -38094.88
