#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
 3 -19052.016 3.0685135 0.96338998 0.022328179 0.12152852 1.0415592 0.059713784 2.1509904e-09 66.69376 -3.5494364 -3.5494364 -38096.933 -38096.933
11 -19052.218 3.0701899 0.96352191   0.0223151 0.12136163 1.0416144 0.060880491 2.1545993e-09 66.75831 -3.5494364 -3.5494364 -38097.337 -38097.337
 5 -19052.211 3.0709918 0.96358949 0.022316697 0.12131319 1.0416167 0.061372963 2.1563279e-09 66.77738 -3.5494364 -3.5494364 -38097.324 -38097.324
55 -19052.176 3.0694373 0.96358446 0.022325442 0.12128098   1.04166 0.060631185 2.1529785e-09 66.81099 -3.5494364 -3.5494364 -38097.252 -38097.252
 5 -19052.254 3.0688212 0.96327352 0.022318899 0.12126163 1.0416352 0.060357791 2.1516524e-09 66.80351 -3.5494364 -3.5494364  -38097.41  -38097.41
 1  -19051.08 3.0395238  0.9714363 0.022316693 0.11760685 1.0416507 0.050646923  2.089529e-09 68.10565 -3.5494364 -3.5494364  -38095.06  -38095.06
 4 -19048.397   3.04389 0.97272618 0.022405651 0.11649922 1.0413133  0.05463191 2.0986722e-09 68.47675 -3.5494364 -3.5494364 -38089.695 -38089.695
 8 -19048.408 3.0449421   0.972561 0.022397784 0.11652813 1.0413571 0.055137003 2.1008816e-09 68.47373 -3.5494364 -3.5494364 -38089.716 -38089.716
 3  -19046.95 3.0127061 0.96309909 0.021944662 0.12113794 1.0410508 0.033826608 2.0342373e-09 66.31398 -3.5494364 -3.5494364 -38086.801 -38086.801
 8 -19047.633 3.0074138 0.96753195 0.022217679 0.12073695  1.041636 0.029346858    2.0235e-09 66.89536 -3.5494364 -3.5494364 -38088.168 -38088.168
19 -19051.101 3.0165816 0.96068653 0.021963947 0.12117038 1.0411114   0.0336052 2.0421363e-09 66.34016 -3.5494364 -3.5494364 -38095.102 -38095.102
 1 -19051.331 3.0087609 0.96405424 0.022086583 0.12044914 1.0409597  0.03088435 2.0262277e-09 66.65278 -3.5494364 -3.5494364 -38095.563 -38095.563
 3 -19051.731 3.0111836 0.96272024 0.022055867 0.12085958   1.04098 0.031743602 2.0311426e-09 66.48796 -3.5494364 -3.5494364 -38096.362 -38096.362
 2 -19051.715 3.0112019 0.96351747 0.022058227 0.12063212 1.0410183 0.031984624 2.0311799e-09 66.58245 -3.5494364 -3.5494364 -38096.331 -38096.331
 2 -19051.604 2.9988663 0.96737356 0.022166045 0.11925336 1.0415734   0.0278749 2.0062778e-09 67.35187 -3.5494364 -3.5494364  -38096.11  -38096.11
 2 -19049.593 3.0344925 0.97170652 0.022344463 0.11719257 1.0422785 0.047996866 2.0790424e-09 68.49213 -3.5494364 -3.5494364 -38092.086 -38092.086
 5  -19050.09  3.029822 0.97240195 0.022350632 0.11713312  1.042225 0.045679477 2.0693548e-09 68.50144 -3.5494364 -3.5494364  -38093.08  -38093.08
 4 -19050.767 3.0222497 0.97124791 0.022369508 0.11732462 1.0420713 0.041487706 2.0537443e-09 68.39719 -3.5494364 -3.5494364 -38094.435 -38094.435
 2 -19050.921 3.0229064  0.9711059 0.022404282 0.11737495 1.0420462 0.041720257 2.0550935e-09 68.40203 -3.5494364 -3.5494364 -38094.742 -38094.742
37  -19050.72 3.0165601 0.97155071 0.022408041 0.11726674 1.0419726 0.038807546 2.0420925e-09 68.42008 -3.5494364 -3.5494364 -38094.342 -38094.342
 1 -19050.981 3.0177381 0.97123467  0.02241003  0.1175647  1.041936 0.039079788 2.0444994e-09 68.30134 -3.5494364 -3.5494364 -38094.864 -38094.864
14 -19050.864 3.0153085 0.97145913 0.022417424 0.11754485 1.0419347 0.037844292 2.0395382e-09 68.31479 -3.5494364 -3.5494364 -38094.629 -38094.629
 4 -19047.621 3.0521874 0.97407032  0.02261174 0.11672073 1.0423294 0.056279375 2.1161582e-09 68.92464 -3.5494364 -3.5494364 -38088.142 -38088.142
 4 -19048.331 3.0153342 0.95544656 0.021934897 0.12381834 1.0403269 0.030159114 2.0395905e-09 65.14442 -3.5494364 -3.5494364 -38089.562 -38089.562
 3 -19047.093 2.9898648 0.94979138  0.02192819 0.12527115 1.0409715 0.015018395 1.9882993e-09 64.86188 -3.5494364 -3.5494364 -38087.087 -38087.087
15 -19050.704 2.9964318 0.95330796 0.022009004  0.1247234 1.0411357 0.018439515 2.0013996e-09 65.17262 -3.5494364 -3.5494364 -38094.309 -38094.309
 5 -19050.509 2.9909813 0.95780403 0.022117875 0.12314593 1.0411886  0.01741323 1.9905207e-09 65.82291 -3.5494364 -3.5494364 -38093.919 -38093.919
14 -19050.037 3.0331843 0.95647413 0.022227239 0.12383125 1.0419987 0.038059109 2.0763245e-09 65.95719 -3.5494364 -3.5494364 -38092.976 -38092.976
28  -19050.78 3.0272167 0.95546459 0.022177292 0.12407276 1.0417656 0.034826658 2.0639706e-09  65.7527 -3.5494364 -3.5494364 -38094.462 -38094.462
 2 -19051.457 3.0255648  0.9567569 0.022158155 0.12415169 1.0414453 0.034213563  2.060564e-09 65.60259 -3.5494364 -3.5494364 -38095.814 -38095.814
 4 -19051.185 2.9921635 0.95648978 0.022084158 0.12356441 1.0409114 0.019050849 1.9928751e-09 65.55813 -3.5494364 -3.5494364 -38095.271 -38095.271
 1 -19050.984 2.9919296 0.95617041 0.022076537 0.12364395 1.0409128 0.018868241  1.992409e-09 65.52467 -3.5494364 -3.5494364 -38094.868 -38094.868
19 -19050.984  2.991451 0.95612606 0.022076482 0.12364813 1.0409156 0.018606949 1.9914558e-09 65.52413 -3.5494364 -3.5494364  -38094.87  -38094.87
 5 -19051.262 2.9914473 0.95652934 0.022090496 0.12360304 1.0409153 0.018620446 1.9914483e-09 65.55201 -3.5494364 -3.5494364 -38095.424 -38095.424
15 -19052.495 3.0025993 0.96233478 0.022300978 0.12122239 1.0413324 0.026750371 2.0137814e-09  66.7001 -3.5494364 -3.5494364 -38097.892 -38097.892
 6 -19052.815 3.0136371 0.96070873 0.022202073 0.12196537 1.0412687 0.031247295 2.0361322e-09 66.33137 -3.5494364 -3.5494364  -38098.53  -38098.53
17 -19052.572 3.0005648 0.96334415 0.022224252 0.12042441 1.0414798 0.026770517 2.0096885e-09 66.95899 -3.5494364 -3.5494364 -38098.045 -38098.045
14 -19050.833 3.0053296 0.96214342 0.022190876 0.12063287 1.0415585 0.029256182 2.0192871e-09 66.88178 -3.5494364 -3.5494364 -38094.568 -38094.568
 8 -19052.425 3.0061606 0.96481035 0.022266619 0.12071044 1.0417484 0.029170356 2.0209658e-09 66.98648 -3.5494364 -3.5494364 -38097.751 -38097.751
 6 -19052.148 3.0284594 0.96510162  0.02234751 0.12025261  1.041614 0.041526693  2.066537e-09 67.17596 -3.5494364 -3.5494364 -38097.198 -38097.198
11 -19051.747 3.0423344 0.96573316 0.022307319 0.12081777  1.041385 0.047820802 2.0954101e-09 66.86469 -3.5494364 -3.5494364 -38096.395 -38096.395
 2 -19052.535 3.0432751 0.96358065 0.022283466 0.12143064 1.0415486 0.047240948 2.0973822e-09 66.68369 -3.5494364 -3.5494364  -38097.97  -38097.97
 1 -19050.881 3.0491566 0.96028559 0.022276523 0.12222023 1.0411213 0.048250206 2.1097544e-09 66.26186 -3.5494364 -3.5494364 -38094.663 -38094.663
 1 -19050.467 3.0019467 0.95639292 0.022248964 0.12224799 1.0410296 0.025021553 2.0124675e-09 66.19689 -3.5494364 -3.5494364 -38093.834 -38093.834
 4 -19050.213 3.0103395 0.95700298 0.022315069 0.12190235 1.0411618 0.029670456 2.0294289e-09 66.42002 -3.5494364 -3.5494364 -38093.327 -38093.327
 1 -19052.272 3.0130193 0.96076963 0.022360273 0.12101696 1.0412385 0.031825597 2.0348747e-09 66.79425 -3.5494364 -3.5494364 -38097.445 -38097.445
29 -19052.202 3.0113131  0.9609619 0.022367088  0.1209021 1.0412367  0.03111525 2.0314056e-09 66.83997 -3.5494364 -3.5494364 -38097.304 -38097.304
 1 -19052.247 3.0115446 0.96090277 0.022364416 0.12091937 1.0412548 0.031226606 2.0318761e-09 66.83752 -3.5494364 -3.5494364 -38097.396 -38097.396
 2 -19052.148  3.021633 0.96169273 0.022333551 0.12035062 1.0411876 0.037229379 2.0524782e-09 66.98654 -3.5494364 -3.5494364 -38097.198 -38097.198
12 -19052.468 3.0256836 0.96226292 0.022359183 0.12027797  1.041253 0.039233489 2.0608087e-09 67.05714 -3.5494364 -3.5494364 -38097.838 -38097.838
11 -19052.027 3.0165188 0.96166968 0.022377889 0.12007519 1.0414595 0.034618585 2.0420082e-09  67.2145 -3.5494364 -3.5494364 -38096.956 -38096.956
11 -19051.859 3.0156262 0.96140685 0.022367864 0.12013304 1.0414497 0.034146469 2.0401863e-09 67.18172 -3.5494364 -3.5494364 -38096.619 -38096.619
 7 -19052.013 3.0114012 0.96213245 0.022397351 0.11993696 1.0414852 0.032146708 2.0315847e-09 67.28956 -3.5494364 -3.5494364 -38096.926 -38096.926
15 -19050.673 3.0050967 0.96012458 0.022315296 0.11994497 1.0411462 0.028796548 2.0188169e-09 67.09915 -3.5494364 -3.5494364 -38094.248 -38094.248
16 -19052.413 3.0441236 0.96298726 0.022282033  0.1200413 1.0413799 0.047898209 2.0991627e-09 67.11296 -3.5494364 -3.5494364 -38097.727 -38097.727
 5 -19051.504 3.0450445 0.96506816  0.02234158  0.1192369  1.041556 0.049045091 2.1010965e-09  67.5109 -3.5494364 -3.5494364 -38095.908 -38095.908
 6 -19050.259 3.0682341 0.96721094 0.022438643  0.1185346 1.0420073 0.061174755 2.1503895e-09 68.00127 -3.5494364 -3.5494364  -38093.42  -38093.42
 4 -19050.808 3.0658648 0.96452359 0.022386282  0.1194076  1.042251 0.058874334 2.1453007e-09 67.72332 -3.5494364 -3.5494364 -38094.518 -38094.518
 1 -19051.236 3.0662689 0.96424634 0.022358632 0.11947966 1.0421762 0.059083677 2.1461677e-09  67.6475 -3.5494364 -3.5494364 -38095.373 -38095.373
 2 -19051.705 3.0587595 0.96280358 0.022319887 0.12038151 1.0419378 0.054334359 2.1301116e-09  67.2136 -3.5494364 -3.5494364 -38096.311 -38096.311
15 -19051.812 3.0590934 0.96212394  0.02229878 0.12058293 1.0419487 0.054265901 2.1308231e-09 67.12722 -3.5494364 -3.5494364 -38096.524 -38096.524
 3  -19051.36 3.0633513 0.96371878 0.022340191 0.11972176 1.0422315 0.057660973 2.1399152e-09 67.56328 -3.5494364 -3.5494364 -38095.622 -38095.622
34 -19051.881  3.060837 0.96389225 0.022345215  0.1196702 1.0421368   0.0565871 2.1345416e-09 67.55445 -3.5494364 -3.5494364 -38096.664 -38096.664
 7 -19050.698 3.0582405 0.96167608 0.022296871 0.12085049 1.0421684 0.054525025 2.1290063e-09 67.10495 -3.5494364 -3.5494364 -38094.297 -38094.297
14 -19049.866 3.0386619  0.9646019 0.022596969 0.11953042 1.0416053 0.047197755 2.0877289e-09 67.65519 -3.5494364 -3.5494364 -38092.633 -38092.633
 2 -19049.345 3.0296796 0.96472472 0.022596698 0.11917366 1.0416345 0.043095646 2.0690602e-09 67.79155 -3.5494364 -3.5494364 -38091.592 -38091.592
 3 -19049.477 3.0263181 0.96491428 0.022598705 0.11921131 1.0416644 0.041337927 2.0621168e-09 67.79002 -3.5494364 -3.5494364 -38091.856 -38091.856
10 -19050.216 3.0269741 0.95926979 0.022437877 0.12114878 1.0413735    0.039056   2.06347e-09 66.86371 -3.5494364 -3.5494364 -38093.332 -38093.332
 8 -19050.174 3.0130661  0.9594628 0.022324692 0.12143753 1.0416048 0.031870162 2.0349698e-09  66.7374 -3.5494364 -3.5494364 -38093.249 -38093.249
 6 -19048.931 3.0041062 0.95478107 0.022137531 0.12510959 1.0415658 0.023313121 2.0168183e-09 65.30141 -3.5494364 -3.5494364 -38090.762 -38090.762
15 -19049.769 2.9869521 0.95667001 0.021904236 0.12431096  1.041217 0.015919177 1.9825166e-09 65.24368 -3.5494364 -3.5494364 -38092.439 -38092.439
 3  -19050.56 2.9802719 0.95755216  0.02189894 0.12412987 1.0410537 0.012656427 1.9693171e-09 65.24623 -3.5494364 -3.5494364 -38094.021 -38094.021
 3 -19051.034 2.9811225  0.9572996  0.02193604 0.12381306 1.0411394 0.013142601 1.9709928e-09 65.41532 -3.5494364 -3.5494364 -38094.969 -38094.969
56  -19051.59 2.9833656 0.95879406 0.021985344  0.1234617  1.041172 0.014584178 1.9754189e-09 65.59002 -3.5494364 -3.5494364  -38096.08  -38096.08
24 -19050.117 2.9783289 0.95997875 0.022016137 0.12397494 1.0410962  0.01176478 1.9654944e-09 65.41851 -3.5494364 -3.5494364 -38093.135 -38093.135
 3 -19050.618 2.9803178 0.95824315 0.021987249 0.12436522  1.041024 0.012323034 1.9694075e-09  65.2367 -3.5494364 -3.5494364 -38094.137 -38094.137
 2 -19050.666 2.9799632 0.95830378 0.021990355  0.1243272 1.0410342 0.012190333 1.9687093e-09 65.25569 -3.5494364 -3.5494364 -38094.234 -38094.234
 4 -19052.223 2.9902675 0.96082286 0.022065309  0.1224632  1.041412  0.01930409 1.9891002e-09 66.08348 -3.5494364 -3.5494364 -38097.347 -38097.347
 5 -19052.281  2.993471 0.96062552 0.022062701 0.12257949 1.0413207 0.020737466 1.9954826e-09 66.01088 -3.5494364 -3.5494364 -38097.463 -38097.463
 2 -19052.056 2.9903389 0.96149786 0.022066469 0.12149983 1.0414003 0.019683914 1.9892423e-09 66.41385 -3.5494364 -3.5494364 -38097.013 -38097.013
2 -19051.807 2.9883378  0.9601092 0.022018266 0.12194293 1.0413883 0.018115918 1.9852657e-09 66.21266 -3.5494364 -3.5494364 -38096.515 -38096.515
1 -19051.481 2.9823284 0.95899406 0.021981872 0.12236303 1.0412639 0.014668644 1.9733711e-09 65.99354 -3.5494364 -3.5494364 -38095.864 -38095.864
3 -19051.524 2.9777914 0.95978891 0.021984017  0.1222362 1.0413306  0.01271789 1.9644382e-09  66.0613 -3.5494364 -3.5494364 -38095.948 -38095.948
5 -19051.111 2.9917644 0.96194161  0.02202034 0.12177805 1.0414781 0.021336595 1.9920801e-09 66.30143 -3.5494364 -3.5494364 -38095.123 -38095.123
6 -19051.663 3.0646785 0.96778343 0.022292577 0.11733297 1.0415783  0.06197319 2.1427572e-09 68.15893 -3.5494364 -3.5494364 -38096.228 -38096.228
3 -19051.311 3.0693175 0.96775783 0.022262891  0.1172675 1.0415294 0.064465236 2.1527205e-09 68.13947 -3.5494364 -3.5494364 -38095.523 -38095.523
4 -19051.372 3.0733736  0.9673356 0.022251959 0.11745573 1.0414748 0.066295006 2.1614699e-09  68.0429 -3.5494364 -3.5494364 -38095.645 -38095.645
2  -19051.28 3.0630938 0.96888362 0.022383844 0.11686777 1.0419185 0.061671713 2.1393642e-09 68.52545 -3.5494364 -3.5494364 -38095.461 -38095.461
1 -19052.274   3.04722 0.96943384 0.022307793 0.11785314 1.0416091 0.053450623 2.1056726e-09 67.99448 -3.5494364 -3.5494364 -38097.448 -38097.448
2 -19050.706 3.0232404 0.96997099 0.022316553 0.11694014  1.041762  0.04223015 2.0557799e-09  68.3854 -3.5494364 -3.5494364 -38094.313 -38094.313
4 -19050.324 3.0348163 0.97288743 0.022372214 0.11612651 1.0419564 0.049098909 2.0797158e-09 68.79971 -3.5494364 -3.5494364 -38093.548 -38093.548
2 -19051.102 3.0088509 0.96870445 0.022282644 0.11752534 1.0416968 0.034062582 2.0264102e-09 68.11981 -3.5494364 -3.5494364 -38095.105 -38095.105
4 -19051.873 3.0224328 0.96602562 0.022181904 0.11866154 1.0413391 0.039572172 2.0541203e-09 67.49936 -3.5494364 -3.5494364 -38096.648 -38096.648
3 -19050.777 3.0639575 0.97246115 0.022213922 0.11712883 1.0414952 0.062822778 2.1412127e-09 68.13423 -3.5494364 -3.5494364 -38094.456 -38094.456
2 -19048.409 3.0525752 0.97669594  0.02235895 0.11557963 1.0416202  0.06007341 2.1169791e-09  68.8766 -3.5494364 -3.5494364 -38089.719 -38089.719
7 -19050.598  3.045473 0.96796377 0.022256332 0.11778461 1.0410319 0.052681284 2.1019971e-09 67.77945 -3.5494364 -3.5494364 -38094.098 -38094.098
1 -19050.714  3.041187  0.9671736 0.022249392 0.11798539 1.0410181 0.050106915 2.0930073e-09 67.69606 -3.5494364 -3.5494364  -38094.33  -38094.33
5 -19051.073 3.0587059 0.97001212 0.022290638 0.11730037 1.0412314 0.059972751 2.1299975e-09 68.05274 -3.5494364 -3.5494364 -38095.048 -38095.048
3 -19051.537 3.0613058 0.96999289 0.022316162 0.11715531  1.041385 0.061231716 2.1355425e-09 68.18009 -3.5494364 -3.5494364 -38095.976 -38095.976
7 -19051.856 3.0429974 0.96433056 0.022226372 0.11893191 1.0413012 0.049616605 2.0967998e-09 67.43019 -3.5494364 -3.5494364 -38096.612 -38096.612
 1 -19051.168   3.01853 0.96211039 0.022270971 0.11985638 1.0413659 0.034720069 2.0461192e-09 67.16361 -3.5494364 -3.5494364 -38095.238 -38095.238
 4 -19051.449 3.0285175 0.96764534 0.022441221 0.11837417 1.0419254 0.042098842 2.0666572e-09 68.03376 -3.5494364 -3.5494364 -38095.798 -38095.798
 5 -19050.792 3.0373149 0.96833287 0.022466183 0.11767513 1.0418466 0.047050327 2.0849187e-09 68.28228 -3.5494364 -3.5494364 -38094.485 -38094.485
 2 -19047.566 3.0441598 0.97039259   0.0226459  0.1164185 1.0423025 0.051293034 2.0992387e-09 69.05753 -3.5494364 -3.5494364 -38088.033 -38088.033
 2 -19047.501 2.9973199  0.9651022 0.022580009 0.11873255 1.0418983 0.024887818 2.0031777e-09 68.02239 -3.5494364 -3.5494364 -38087.904 -38087.904
 3 -19047.796 3.0178237  0.9682265 0.022592416 0.11848987 1.0418907 0.036241736 2.0446745e-09 68.11809 -3.5494364 -3.5494364 -38088.492 -38088.492
 2 -19046.627 3.0347009 0.97166545 0.022680446  0.1171997 1.0421821 0.046374265 2.0794758e-09  68.7627 -3.5494364 -3.5494364 -38086.156 -38086.156
 1 -19047.231 3.0323775 0.97295144 0.022625376 0.11702351 1.0421114 0.045876736 2.0746498e-09 68.75294 -3.5494364 -3.5494364 -38087.363 -38087.363
 2 -19047.896 3.0405494  0.9721823 0.022563911 0.11774978 1.0421973 0.049217715 2.0916732e-09 68.46199 -3.5494364 -3.5494364 -38088.692 -38088.692
 3 -19047.962 3.0368784 0.97097025 0.022557672   0.117826 1.0421544 0.046842762 2.0840086e-09 68.41431 -3.5494364 -3.5494364 -38088.825 -38088.825
 2 -19048.992 3.0380472 0.97171125 0.022477735 0.11774619 1.0419321 0.048023626 2.0864459e-09 68.29575 -3.5494364 -3.5494364 -38090.885 -38090.885
 3 -19049.207 3.0629314 0.97366338 0.022422508 0.11797766 1.0418719  0.06147773 2.1390169e-09 68.14168 -3.5494364 -3.5494364 -38091.316 -38091.316
 2 -19050.602 3.0563013 0.97198069  0.02245286 0.11768638  1.042076 0.057634002 2.1248818e-09 68.34314 -3.5494364 -3.5494364 -38094.106 -38094.106
10 -19049.562 3.0471104 0.97041566 0.022390405  0.1169062 1.0416883 0.052921049 2.1054417e-09 68.43999 -3.5494364 -3.5494364 -38092.025 -38092.025
 1 -19049.767 3.0456711 0.97038022 0.022377483 0.11699178 1.0416658 0.052199155 2.1024136e-09 68.38947 -3.5494364 -3.5494364 -38092.435 -38092.435
 1 -19050.451 3.0911866  0.9712414 0.022297457  0.1183305 1.0413623 0.075394745 2.2003171e-09 67.73041 -3.5494364 -3.5494364 -38093.803 -38093.803
 1 -19050.406 3.0920218   0.971237  0.02229317 0.11834355 1.0413553 0.075813039 2.2021556e-09  67.7195 -3.5494364 -3.5494364 -38093.713 -38093.713
 3 -19051.384 3.0798684 0.96819693 0.022255416 0.11931513 1.0413058 0.068094869 2.1755539e-09 67.32141 -3.5494364 -3.5494364 -38095.668 -38095.668
 1 -19051.369 3.0816228 0.96833029  0.02225613 0.11926927 1.0413035 0.069078907 2.1793741e-09  67.3376 -3.5494364 -3.5494364  -38095.64  -38095.64
 3 -19050.566 3.0452088 0.97048286 0.022273548 0.11844197 1.0412084 0.052257631 2.1014418e-09 67.61727 -3.5494364 -3.5494364 -38094.033 -38094.033
1 -19049.943 3.0407331  0.9738545 0.022454593 0.11728048 1.0418608 0.051654955 2.0920575e-09 68.41979 -3.5494364 -3.5494364 -38092.786 -38092.786
1 -19050.859 2.9734939 0.96439328 0.022403308 0.12005599 1.0415716 0.013768843 1.9560142e-09 67.28178 -3.5494364 -3.5494364 -38094.619 -38094.619
2 -19051.026 2.9807458 0.96206791 0.022443459 0.12039467 1.0416697 0.016079107 1.9702506e-09 67.23174 -3.5494364 -3.5494364 -38094.953 -38094.953
1 -19050.775 2.9903439 0.96459598 0.022491867 0.12009296 1.0417983 0.021732691 1.9892523e-09 67.42505 -3.5494364 -3.5494364 -38094.452 -38094.452
3 -19050.229 2.9796277 0.96381821 0.022512431 0.12012627 1.0417715 0.015836756 1.9680489e-09 67.42306 -3.5494364 -3.5494364 -38093.359 -38093.359
3 -19050.043 2.9784955 0.96380691 0.022522096 0.12010687  1.041791 0.015249798 1.9658219e-09 67.44523 -3.5494364 -3.5494364 -38092.987 -38092.987
3  -19050.01 2.9728293 0.96336738  0.02250118 0.12040484  1.041763 0.012069322 1.9547147e-09 67.31186 -3.5494364 -3.5494364 -38092.921 -38092.921
6 -19050.728 2.9942878  0.9649527 0.022494844 0.12020348 1.0417289  0.02353693 1.9971131e-09 67.36557 -3.5494364 -3.5494364 -38094.357 -38094.357
3  -19051.53 3.0135157  0.9634648 0.022454949 0.12079476 1.0415773 0.032380291 2.0358851e-09 67.07094 -3.5494364 -3.5494364 -38095.961 -38095.961
4 -19051.734 3.0055579 0.96173524 0.022431234 0.12111996   1.04153  0.02772083  2.019748e-09  66.9199 -3.5494364 -3.5494364 -38096.369 -38096.369
2 -19051.786 3.0407766 0.96261852 0.022518454 0.12012575 1.0416488 0.046197637 2.0921485e-09 67.38766 -3.5494364 -3.5494364 -38096.474 -38096.474
1 -19051.139 3.0536813 0.95672197 0.022215568 0.12320674 1.0411491 0.050217384 2.1193219e-09 65.87747 -3.5494364 -3.5494364 -38095.179 -38095.179
2 -19051.614 3.0667776 0.95712515 0.022131976 0.12239292 1.0412157 0.057086926 2.1472597e-09 66.10287 -3.5494364 -3.5494364  -38096.13  -38096.13
1 -19050.544 3.0666991 0.95662402 0.022098069 0.12222439 1.0412288 0.057269296 2.1470913e-09 66.13462 -3.5494364 -3.5494364 -38093.988 -38093.988
4 -19050.665 3.0534536 0.95651296 0.022106237 0.12177637 1.0411242 0.050725585 2.1188395e-09 66.26216 -3.5494364 -3.5494364 -38094.232 -38094.232
3 -19050.658 3.0534224 0.95621634 0.022103832 0.12191609 1.0411242 0.050499862 2.1187734e-09 66.21163 -3.5494364 -3.5494364 -38094.216 -38094.216
4   -19049.7 3.0583831 0.95551263 0.022126694 0.12164321 1.0411887 0.052901598 2.1293101e-09 66.34821 -3.5494364 -3.5494364 -38092.302 -38092.302
4 -19049.638 3.0663426 0.95590499 0.022161059 0.12133188 1.0412045 0.057223198 2.1463259e-09 66.49272 -3.5494364 -3.5494364 -38092.177 -38092.177
3 -19049.967 3.0608243 0.95880143 0.022272871 0.12011592  1.041588 0.056060594 2.1345145e-09 67.14775 -3.5494364 -3.5494364 -38092.834 -38092.834
2 -19050.292 3.0582994 0.95896151 0.022272277 0.12021753 1.0415509 0.054850922 2.1291319e-09 67.09902 -3.5494364 -3.5494364 -38093.485 -38093.485
4  -19050.35 3.0588936 0.95906909 0.022272296 0.12020872  1.041555 0.055188848 2.1303974e-09 67.10351 -3.5494364 -3.5494364 -38093.601 -38093.601
2 -19050.539 3.0591174 0.96004335 0.022358587 0.11978489 1.0416719 0.055739098 2.1308743e-09 67.37051 -3.5494364 -3.5494364 -38093.979 -38093.979
4 -19049.706 3.0505021  0.9678546 0.022595593 0.11711327 1.0421858 0.053856885 2.1125949e-09 68.71816 -3.5494364 -3.5494364 -38092.313 -38092.313
2  -19049.51 3.0505228 0.96861005 0.022617245 0.11709518 1.0422658 0.054024837 2.1126387e-09 68.77141 -3.5494364 -3.5494364  -38091.92  -38091.92
3 -19049.746 3.0763972 0.96884025 0.022584162 0.11711625  1.042466 0.067262358 2.1680153e-09 68.80106 -3.5494364 -3.5494364 -38092.394 -38092.394
1 -19049.569 3.0455027 0.97075807 0.022271777 0.11961943 1.0414399 0.051517359 2.1020596e-09 67.27292 -3.5494364 -3.5494364 -38092.039 -38092.039
3 -19048.539 2.9993886 0.97006191 0.022481739 0.11892776 1.0418644 0.027659811  2.007326e-09 67.85171 -3.5494364 -3.5494364 -38089.979 -38089.979
1 -19048.622 2.9973869 0.96934682 0.022478395 0.11899283 1.0417915 0.026366731  2.003312e-09 67.80101 -3.5494364 -3.5494364 -38090.145 -38090.145
7 -19049.346 3.0570995 0.97263512 0.022467906 0.11830519 1.0419236 0.058024331 2.1265786e-09 68.08223 -3.5494364 -3.5494364 -38091.593 -38091.593
3 -19049.909 3.0773345 0.97107986 0.022647356 0.11720497  1.042344 0.068671377 2.1700482e-09  68.7852 -3.5494364 -3.5494364 -38092.718 -38092.718
1 -19050.216 3.0581701   0.968821 0.022602056 0.11895654 1.0418839 0.057624425 2.1288565e-09 67.95754 -3.5494364 -3.5494364 -38093.333 -38093.333
2 -19050.076 3.0564737 0.96885088 0.022605901 0.11898528 1.0419211 0.056756514 2.1252482e-09 67.96323 -3.5494364 -3.5494364 -38093.054 -38093.054
2 -19050.852 3.0204245 0.96416414 0.022567428 0.11982317 1.0418956 0.036700945 2.0499992e-09 67.62177 -3.5494364 -3.5494364 -38094.605 -38094.605
1 -19051.593 3.0040128 0.96023436 0.022325404 0.12229558 1.0411661 0.026182913 2.0166298e-09 66.29509 -3.5494364 -3.5494364 -38096.087 -38096.087
3 -19052.029 3.0023864 0.96280012 0.022348689 0.12094539 1.0412846 0.026827754 2.0133527e-09  66.8241 -3.5494364 -3.5494364  -38096.96  -38096.96
1 -19049.098 3.0387403 0.95904002 0.022055622 0.12248585 1.0404281 0.044127844 2.0878926e-09 65.74108 -3.5494364 -3.5494364 -38091.098 -38091.098
2 -19048.989 3.0378363  0.9587439 0.022042888   0.122628 1.0404127 0.043499762  2.086006e-09 65.67572 -3.5494364 -3.5494364 -38090.878 -38090.878
4 -19048.821 3.0432147 0.95943782 0.022048231 0.12257434 1.0404162 0.046390239 2.0972556e-09 65.70012 -3.5494364 -3.5494364 -38090.543 -38090.543
3 -19043.914 3.0694273 0.96168339 0.021958731 0.12096369 1.0408047 0.062541712  2.152957e-09 66.30588 -3.5494364 -3.5494364 -38080.728 -38080.728
2  -19043.77   3.06785 0.96072125 0.021938175  0.1211483 1.0407276 0.061339431 2.1495637e-09 66.19738 -3.5494364 -3.5494364 -38080.441 -38080.441
3 -19045.784 3.0310067 0.96093173 0.022009271 0.11995226 1.0409775 0.043201521  2.071808e-09 66.76403 -3.5494364 -3.5494364 -38084.468 -38084.468
4 -19045.964 2.9811337 0.95392344  0.02204221 0.12188533 1.0409368 0.014227039 1.9710149e-09 66.10448 -3.5494364 -3.5494364  -38084.83  -38084.83
1 -19047.723 2.9838661 0.95613145 0.022017409 0.12192206 1.0408446  0.01642676  1.976408e-09 66.03887 -3.5494364 -3.5494364 -38088.347 -38088.347
1 -19050.125 2.9958599 0.95486178 0.021965285 0.12371828 1.0408246   0.0204056 2.0002552e-09 65.36993 -3.5494364 -3.5494364 -38093.152 -38093.152
3 -19051.252 3.0069632 0.96604839 0.022303299 0.11952082 1.0420701 0.030943356 2.0225884e-09 67.54709 -3.5494364 -3.5494364 -38095.406 -38095.406
